city,state_id,lat,lng,population,timezone,military
New York,NY,40.6943,-73.9249,18713220,America/New_York,False
Los Angeles,CA,34.1139,-118.4068,12750807,America/Los_Angeles,False
Chicago,IL,41.8373,-87.6862,8604203,America/Chicago,False
Miami,FL,25.7839,-80.2102,6445545,America/New_York,False
Dallas,TX,32.7936,-96.7662,5743938,America/Chicago,False
Philadelphia,PA,40.0077,-75.1339,5649300,America/New_York,False
Houston,TX,29.7863,-95.3889,5464251,America/Chicago,False
Atlanta,GA,33.7627,-84.4224,5449398,America/New_York,False
Washington,DC,38.9047,-77.0163,5379184,America/New_York,False
Boston,MA,42.3188,-71.0846,4688346,America/New_York,False
Phoenix,AZ,33.5722,-112.0891,4219697,America/Phoenix,False
Seattle,WA,47.6211,-122.3244,3789215,America/Los_Angeles,False
San Francisco,CA,37.7562,-122.443,3592294,America/Los_Angeles,False
Detroit,MI,42.3834,-83.1024,3506126,America/Detroit,False
San Diego,CA,32.8312,-117.1225,3220118,America/Los_Angeles,False
Minneapolis,MN,44.9635,-93.2678,2977172,America/Chicago,False
Tampa,FL,27.9942,-82.4451,2908063,America/New_York,False
Denver,CO,39.7621,-104.8759,2876625,America/Denver,False
Brooklyn,NY,40.6501,-73.9496,2559903,America/New_York,False
Queens,NY,40.7498,-73.7976,2230722,America/New_York,False
Riverside,CA,33.9381,-117.3948,2107852,America/Los_Angeles,False
Baltimore,MD,39.3051,-76.6144,2106068,America/New_York,False
Las Vegas,NV,36.2333,-115.2654,2104198,America/Los_Angeles,False
Portland,OR,45.5372,-122.65,2074775,America/Los_Angeles,False
San Antonio,TX,29.4658,-98.5253,2049293,America/Chicago,False
St. Louis,MO,38.6358,-90.2451,2024074,America/Chicago,False
Sacramento,CA,38.5667,-121.4683,1898019,America/Los_Angeles,False
Orlando,FL,28.4772,-81.3369,1822394,America/New_York,False
San Jose,CA,37.3019,-121.8486,1798103,America/Los_Angeles,False
Cleveland,OH,41.4767,-81.6804,1710093,America/New_York,False
Pittsburgh,PA,40.4396,-79.9762,1703266,America/New_York,False
Austin,TX,30.3004,-97.7522,1687311,America/Chicago,False
Cincinnati,OH,39.1413,-84.5061,1662691,America/New_York,False
Kansas City,MO,39.1239,-94.5541,1636715,America/Chicago,False
Manhattan,NY,40.7834,-73.9662,1628706,America/New_York,False
Indianapolis,IN,39.7771,-86.1458,1588961,America/Indiana/Indianapolis,False
Columbus,OH,39.9862,-82.985,1562009,America/New_York,False
Charlotte,NC,35.208,-80.8304,1512923,America/New_York,False
Virginia Beach,VA,36.7335,-76.0435,1478868,America/New_York,False
Bronx,NY,40.8501,-73.8662,1418207,America/New_York,False
Milwaukee,WI,43.0642,-87.9673,1365787,America/Chicago,False
Providence,RI,41.823,-71.4187,1203230,America/New_York,False
Jacksonville,FL,30.3322,-81.6749,1181496,America/New_York,False
Salt Lake City,UT,40.7777,-111.9306,1098526,America/Denver,False
Nashville,TN,36.1715,-86.7843,1081903,America/Chicago,False
Richmond,VA,37.5295,-77.4756,1075798,America/New_York,False
Memphis,TN,35.1046,-89.9773,1066967,America/Chicago,False
Raleigh,NC,35.8325,-78.6435,1038738,America/New_York,False
New Orleans,LA,30.0687,-89.9288,1020886,America/Chicago,False
Louisville,KY,38.1663,-85.6485,1005654,America/New_York,False
Oklahoma City,OK,35.4676,-97.5136,972943,America/Chicago,False
Bridgeport,CT,41.1918,-73.1953,924449,America/New_York,False
Buffalo,NY,42.9016,-78.8487,914341,America/New_York,False
Fort Worth,TX,32.7811,-97.3473,909585,America/Chicago,False
Hartford,CT,41.7661,-72.6834,905152,America/New_York,False
Tucson,AZ,32.1545,-110.8782,888486,America/Phoenix,False
Omaha,NE,41.2627,-96.0522,847819,America/Chicago,False
El Paso,TX,31.8479,-106.4309,843386,America/Denver,False
Honolulu,HI,21.3294,-157.846,820987,Pacific/Honolulu,False
McAllen,TX,26.2273,-98.2471,804114,America/Chicago,False
Albuquerque,NM,35.1053,-106.6464,761195,America/Denver,False
Birmingham,AL,33.5277,-86.7987,739573,America/Chicago,False
Sarasota,FL,27.3386,-82.5431,722243,America/New_York,False
Dayton,OH,39.7797,-84.1998,718353,America/New_York,False
Rochester,NY,43.168,-77.6162,703952,America/New_York,False
Fresno,CA,36.7831,-119.7941,703498,America/Los_Angeles,False
Allentown,PA,40.5961,-75.4756,683794,America/New_York,False
Tulsa,OK,36.1284,-95.9042,671033,America/Chicago,False
Cape Coral,FL,26.6446,-81.9956,668382,America/New_York,False
Concord,CA,37.9722,-122.0016,652308,America/Los_Angeles,False
Colorado Springs,CO,38.8674,-104.7606,642413,America/Denver,False
Charleston,SC,32.8153,-79.9628,628377,America/New_York,False
Springfield,MA,42.1155,-72.5395,623401,America/New_York,False
Grand Rapids,MI,42.962,-85.6562,609314,America/Detroit,False
Mission Viejo,CA,33.6095,-117.655,590249,America/Los_Angeles,False
Albany,NY,42.6664,-73.7987,586383,America/New_York,False
Knoxville,TN,35.9692,-83.9496,586048,America/New_York,False
Bakersfield,CA,35.3529,-119.0359,579295,America/Los_Angeles,False
Ogden,UT,41.2278,-111.9682,578523,America/Denver,False
Baton Rouge,LA,30.4418,-91.131,570308,America/Chicago,False
Akron,OH,41.0798,-81.5219,565208,America/New_York,False
New Haven,CT,41.3112,-72.9246,564830,America/New_York,False
Columbia,SC,34.0376,-80.9037,560041,America/New_York,False
Mesa,AZ,33.4017,-111.718,518012,America/Phoenix,False
Palm Bay,FL,27.955,-80.6627,507002,America/New_York,False
Provo,UT,40.2457,-111.6457,500617,America/Denver,False
Worcester,MA,42.2705,-71.8079,498328,America/New_York,False
Murrieta,CA,33.572,-117.1909,496046,America/Los_Angeles,False
Greenville,SC,34.8353,-82.3647,484465,America/New_York,False
Wichita,KS,37.6896,-97.3442,482249,America/Chicago,False
Toledo,OH,41.6639,-83.5822,482111,America/New_York,False
Staten Island,NY,40.5834,-74.1496,476143,America/New_York,False
Des Moines,IA,41.5725,-93.6105,473957,America/Chicago,False
Long Beach,CA,33.7981,-118.1675,462628,America/Los_Angeles,False
Port St. Lucie,FL,27.2796,-80.3883,461152,America/New_York,False
Denton,TX,33.2176,-97.1419,457177,America/Chicago,False
Madison,WI,43.0826,-89.3931,447245,America/Chicago,False
Reno,NV,39.5497,-119.8483,445020,America/Los_Angeles,False
Harrisburg,PA,40.2752,-76.8843,442289,America/New_York,False
Little Rock,AR,34.7256,-92.3576,439815,America/Chicago,False
Oakland,CA,37.7903,-122.2165,433031,America/Los_Angeles,False
Durham,NC,35.9794,-78.9031,424700,America/New_York,False
Winston-Salem,NC,36.1029,-80.2611,422269,America/New_York,False
Bonita Springs,FL,26.3559,-81.7861,421291,America/New_York,False
Indio,CA,33.7346,-116.2346,417059,America/Los_Angeles,False
Palm Coast,FL,29.5392,-81.246,417007,America/New_York,False
Chattanooga,TN,35.0657,-85.2488,415501,America/New_York,False
Spokane,WA,47.6671,-117.433,412275,America/Los_Angeles,False
Syracuse,NY,43.0409,-76.1438,404223,America/New_York,False
Lancaster,PA,40.0421,-76.3012,401524,America/New_York,False
Arlington,TX,32.6998,-97.125,398854,America/Chicago,False
Stockton,CA,37.9765,-121.3109,397264,America/Los_Angeles,False
Poughkeepsie,NY,41.6949,-73.921,394760,America/New_York,False
Augusta,GA,33.3645,-82.0708,390809,America/New_York,False
Boise,ID,43.6007,-116.2312,389280,America/Boise,False
Oxnard,CA,34.1963,-119.1815,387647,America/Los_Angeles,False
Scranton,PA,41.4044,-75.6649,384250,America/New_York,False
Modesto,CA,37.6374,-121.0028,383134,America/Los_Angeles,False
Kissimmee,FL,28.3042,-81.4164,382720,America/New_York,False
Aurora,CO,39.7087,-104.7273,379289,America/Denver,False
Youngstown,OH,41.0993,-80.6463,378732,America/New_York,False
Fayetteville,AR,36.0713,-94.166,351246,America/Chicago,False
Anaheim,CA,33.839,-117.8572,350365,America/Los_Angeles,False
Pensacola,FL,30.4427,-87.1886,346921,America/Chicago,False
Victorville,CA,34.5277,-117.3536,346789,America/Los_Angeles,False
Lancaster,CA,34.6935,-118.1753,343304,America/Los_Angeles,False
Greensboro,NC,36.0956,-79.8269,343090,America/New_York,False
Corpus Christi,TX,27.726,-97.3755,342464,America/Chicago,False
Fort Wayne,IN,41.0886,-85.1437,334122,America/Indiana/Indianapolis,False
Santa Ana,CA,33.7366,-117.8819,332318,America/Los_Angeles,False
Flint,MI,43.0235,-83.6922,332190,America/Detroit,False
Fayetteville,NC,35.0846,-78.9776,327435,America/New_York,False
Jackson,MS,32.3163,-90.2124,325350,America/Chicago,False
Santa Rosa,CA,38.4458,-122.7067,324634,America/Los_Angeles,False
Lansing,MI,42.7142,-84.5601,324286,America/Detroit,False
San Juan,PR,18.4037,-66.0636,323279,America/Puerto_Rico,False
Lexington,KY,38.0423,-84.4587,323152,America/New_York,False
Ann Arbor,MI,42.2755,-83.7312,322267,America/Detroit,False
Henderson,NV,36.0133,-115.038,320189,America/Los_Angeles,False
Huntsville,AL,34.6988,-86.6412,319249,America/Chicago,False
Mobile,AL,30.6783,-88.1162,315502,America/Chicago,False
Fort Collins,CO,40.5478,-105.0656,312666,America/Denver,False
Asheville,NC,35.5704,-82.5536,312507,America/New_York,False
Santa Clarita,CA,34.4175,-118.4964,312446,America/Los_Angeles,False
St. Paul,MN,44.9477,-93.104,308096,America/Chicago,False
Antioch,CA,37.9789,-121.7958,302419,America/Los_Angeles,False
Lakeland,FL,28.0556,-81.9545,302284,America/New_York,False
Trenton,NJ,40.2236,-74.7641,290716,America/New_York,False
Lincoln,NE,40.809,-96.6788,289490,America/Chicago,False
Springfield,MO,37.1943,-93.2916,288090,America/Chicago,False
Anchorage,AK,61.1508,-149.1091,288000,America/Anchorage,False
Plano,TX,33.0502,-96.7487,287677,America/Chicago,False
Irvine,CA,33.6772,-117.7738,287401,America/Los_Angeles,False
Davenport,IA,41.5563,-90.6052,285362,America/Chicago,False
Rockford,IL,42.2597,-89.0641,282762,America/Chicago,False
Newark,NJ,40.7245,-74.1725,282011,America/New_York,False
South Bend,IN,41.6767,-86.2696,280498,America/Indiana/Indianapolis,False
Shreveport,LA,32.4656,-93.7956,280062,America/Chicago,False
Round Lake Beach,IL,42.379,-88.0811,279381,America/Chicago,False
Savannah,GA,32.0281,-81.1784,276295,America/New_York,False
Myrtle Beach,SC,33.7096,-78.8843,275579,America/New_York,False
Chula Vista,CA,32.6281,-117.0145,274492,America/Los_Angeles,False
Eugene,OR,44.0563,-123.1173,273439,America/Los_Angeles,False
Canton,OH,40.8075,-81.3677,269418,America/New_York,False
Lubbock,TX,33.5659,-101.8878,267648,America/Chicago,False
Reading,PA,40.34,-75.9267,267155,America/New_York,False
Winter Haven,FL,28.0118,-81.7017,267069,America/New_York,False
Salem,OR,44.9231,-123.0246,266804,America/Los_Angeles,False
St. Petersburg,FL,27.7931,-82.6652,265351,America/New_York,False
Lafayette,LA,30.2084,-92.0323,264357,America/Chicago,False
Laredo,TX,27.5629,-99.4875,262491,America/Chicago,False
Jersey City,NJ,40.7161,-74.0682,262075,America/New_York,False
Concord,NC,35.3933,-80.6366,261801,America/New_York,False
Columbus,GA,32.51,-84.8771,261445,America/New_York,False
Chandler,AZ,33.2826,-111.8516,261165,America/Phoenix,False
McKinney,TX,33.2015,-96.6669,258277,America/Chicago,False
Scottsdale,AZ,33.6872,-111.8651,258069,America/Phoenix,False
Killeen,TX,31.0754,-97.7296,258009,America/Chicago,False
Tallahassee,FL,30.4551,-84.2526,257601,America/New_York,False
Peoria,IL,40.752,-89.6153,256286,America/Chicago,False
Wilmington,NC,34.21,-77.8866,255616,America/New_York,False
Montgomery,AL,32.3473,-86.2666,254634,America/Chicago,False
Gilbert,AZ,33.3101,-111.7463,254114,America/Phoenix,False
Glendale,AZ,33.5791,-112.2311,252381,America/Phoenix,False
North Las Vegas,NV,36.288,-115.0901,251974,America/Los_Angeles,False
Chesapeake,VA,36.6778,-76.3024,244835,America/New_York,False
Barnstable,MA,41.6722,-70.3599,242847,America/New_York,False
Norfolk,VA,36.8945,-76.259,242742,America/New_York,False
Fremont,CA,37.5265,-121.9852,241110,America/Los_Angeles,False
Kennewick,WA,46.1978,-119.1732,240735,America/Los_Angeles,False
Garland,TX,32.91,-96.6305,239928,America/Chicago,False
Irving,TX,32.8584,-96.9702,239798,America/Chicago,False
Visalia,CA,36.3276,-119.3269,237386,America/Los_Angeles,False
Atlantic City,NJ,39.3797,-74.4527,237054,America/New_York,False
Paradise,NV,36.0807,-115.1369,235087,America/Los_Angeles,False
Nashua,NH,42.7491,-71.491,233917,America/New_York,False
Arlington,VA,38.8786,-77.1011,233464,America/New_York,False
Hialeah,FL,25.8696,-80.3046,233339,America/New_York,False
York,PA,39.9651,-76.7315,233184,America/New_York,False
Evansville,IN,37.9881,-87.5341,230427,America/Chicago,False
Avondale,AZ,33.3858,-112.3236,227289,America/Phoenix,False
Brownsville,TX,25.998,-97.4565,227239,America/Matamoros,False
Gulfport,MS,30.4271,-89.0703,220987,America/Chicago,False
Appleton,WI,44.2779,-88.3891,220570,America/Chicago,False
Bremerton,WA,47.5436,-122.7122,218400,America/Los_Angeles,False
Hickory,NC,35.7425,-81.323,218323,America/New_York,False
Tacoma,WA,47.2431,-122.4531,217827,America/Los_Angeles,False
San Bernardino,CA,34.1417,-117.2946,215784,America/Los_Angeles,False
College Station,TX,30.5852,-96.296,215243,America/Chicago,False
Kalamazoo,MI,42.2749,-85.5882,215193,America/Detroit,False
Thousand Oaks,CA,34.1914,-118.8755,215029,America/Los_Angeles,False
Roanoke,VA,37.2785,-79.958,214674,America/New_York,False
Fontana,CA,34.0968,-117.4599,214547,America/Los_Angeles,False
Moreno Valley,CA,33.9244,-117.2045,213055,America/Los_Angeles,False
North Port,FL,27.0577,-82.1975,209070,America/New_York,False
Fargo,ND,46.8652,-96.8292,208675,America/Chicago,False
Green Bay,WI,44.515,-87.9896,207557,America/Chicago,False
Spring Valley,NV,36.0987,-115.2619,207127,America/Los_Angeles,False
Amarillo,TX,35.1988,-101.8311,205603,America/Chicago,False
Portland,ME,43.6773,-70.2715,203969,America/New_York,False
Santa Barbara,CA,34.4285,-119.7202,202401,America/Los_Angeles,False
Gainesville,FL,29.6804,-82.3458,202335,America/New_York,False
Olympia,WA,47.0417,-122.8959,200915,America/Los_Angeles,False
Frisco,TX,33.1555,-96.8215,200490,America/Chicago,False
Yonkers,NY,40.9466,-73.8674,200370,America/New_York,False
Norwich,CT,41.5495,-72.0882,200289,America/New_York,False
Glendale,CA,34.1818,-118.2468,199303,America/Los_Angeles,False
Huntington Beach,CA,33.696,-118.0025,199223,America/Los_Angeles,False
Deltona,FL,28.905,-81.2137,198361,America/New_York,False
Aurora,IL,41.7637,-88.2901,197757,America/Chicago,False
Tempe,AZ,33.3881,-111.9318,195805,America/Phoenix,False
Overland Park,KS,38.887,-94.687,195494,America/Chicago,False
Grand Prairie,TX,32.6872,-97.0209,194543,America/Chicago,False
Sunrise Manor,NV,36.1785,-115.049,193781,America/Los_Angeles,False
Waco,TX,31.5598,-97.1881,192315,America/Chicago,False
Salinas,CA,36.6884,-121.6317,190972,America/Los_Angeles,False
Waterbury,CT,41.5583,-73.0361,189614,America/New_York,False
Clarksville,TN,36.5695,-87.342,188746,America/Chicago,False
Cedar Rapids,IA,41.9665,-91.6782,188038,America/Chicago,False
Sioux Falls,SD,43.5397,-96.732,187239,America/Chicago,False
Huntington,WV,38.4109,-82.4344,186034,America/New_York,False
Ontario,CA,34.0393,-117.6064,185010,America/Los_Angeles,False
Hagerstown,MD,39.6401,-77.7217,184755,America/New_York,False
Erie,PA,42.1168,-80.0733,184484,America/New_York,False
Vancouver,WA,45.6366,-122.5967,184463,America/Los_Angeles,False
Nampa,ID,43.5845,-116.5631,184428,America/Boise,False
Spartanburg,SC,34.9437,-81.9257,182701,America/New_York,False
Gastonia,NC,35.2494,-81.1853,182581,America/New_York,False
Fort Lauderdale,FL,26.1412,-80.1464,182437,America/New_York,False
Lorain,OH,41.4409,-82.184,180279,America/New_York,False
Murfreesboro,TN,35.8492,-86.4119,179951,America/Chicago,False
High Point,NC,35.9907,-79.9938,179913,America/New_York,False
Newport News,VA,37.1051,-76.5185,179225,America/New_York,False
Rancho Cucamonga,CA,34.1248,-117.5666,177603,America/Los_Angeles,False
Hemet,CA,33.7341,-116.9969,177253,America/Los_Angeles,False
Santa Cruz,CA,36.9789,-122.0346,176428,America/Los_Angeles,False
Danbury,CT,41.4016,-73.471,176030,America/New_York,False
Peoria,AZ,33.7844,-112.2989,175961,America/Phoenix,False
Oceanside,CA,33.2247,-117.3083,175742,America/Los_Angeles,False
Elk Grove,CA,38.416,-121.3842,174775,America/Los_Angeles,False
Pembroke Pines,FL,26.0128,-80.3382,173591,America/New_York,False
Vallejo,CA,38.1133,-122.2358,173256,America/Los_Angeles,False
Garden Grove,CA,33.7787,-117.9601,171644,America/Los_Angeles,False
Enterprise,NV,36.0164,-115.2208,171108,America/Los_Angeles,False
Medford,OR,42.3372,-122.8537,170876,America/Los_Angeles,False
Cary,NC,35.782,-78.8191,170282,America/New_York,False
Marysville,WA,48.0809,-122.1561,170009,America/Los_Angeles,False
Corona,CA,33.8616,-117.5649,169868,America/Los_Angeles,False
Ocala,FL,29.178,-82.1511,169383,America/New_York,False
Fredericksburg,VA,38.2992,-77.4872,168909,America/New_York,False
Gainesville,GA,34.2903,-83.8301,167371,America/New_York,False
Manchester,NH,42.9848,-71.4447,162877,America/New_York,False
Bayamón,PR,18.3793,-66.1635,161034,America/Puerto_Rico,False
Champaign,IL,40.1144,-88.2735,159443,America/Chicago,False
Alexandria,VA,38.8185,-77.0861,159428,America/New_York,False
Hayward,CA,37.6328,-122.0772,159203,America/Los_Angeles,False
Springfield,IL,39.771,-89.6538,158509,America/Chicago,False
Lakewood,CO,39.6977,-105.1168,157935,America/Denver,False
Lafayette,IN,40.399,-86.8594,157820,America/Indiana/Indianapolis,False
Frederick,MD,39.4336,-77.4141,156787,America/New_York,False
Lake Charles,LA,30.2012,-93.2122,156181,America/Chicago,False
Odessa,TX,31.8831,-102.3406,155998,America/Chicago,False
Tuscaloosa,AL,33.2348,-87.5267,155499,America/Chicago,False
Warner Robins,GA,32.597,-83.6529,155140,America/New_York,False
Palmdale,CA,34.5944,-118.1057,155079,America/Los_Angeles,False
Hollywood,FL,26.0294,-80.1679,154817,America/New_York,False
Midland,TX,32.0249,-102.1137,154793,America/Chicago,False
Leesburg,FL,28.7657,-81.8996,154574,America/New_York,False
Port Arthur,TX,29.8554,-93.9264,154468,America/Chicago,False
Muskegon,MI,43.2281,-86.2563,153565,America/Detroit,False
Macon,GA,32.8065,-83.6974,153159,America/New_York,False
Kansas City,KS,39.1234,-94.7443,152960,America/Chicago,False
Sunnyvale,CA,37.3836,-122.0256,152703,America/Los_Angeles,False
Pomona,CA,34.0585,-117.7626,151691,America/Los_Angeles,False
Escondido,CA,33.1347,-117.0722,151625,America/Los_Angeles,False
Pasadena,TX,29.6583,-95.1499,151227,America/Chicago,False
New Bedford,MA,41.6697,-70.9428,149910,America/New_York,False
Fairfield,CA,38.2592,-122.0324,148683,America/Los_Angeles,False
Naperville,IL,41.7483,-88.1657,148449,America/Chicago,False
Bellevue,WA,47.5951,-122.1535,148164,America/Los_Angeles,False
Binghamton,NY,42.1014,-75.9093,148145,America/New_York,False
Elkhart,IN,41.6916,-85.9628,147567,America/Indiana/Indianapolis,False
Topeka,KS,39.0346,-95.6955,147458,America/Chicago,False
Joliet,IL,41.5189,-88.1499,147344,America/Chicago,False
Beaumont,TX,30.0849,-94.1451,146091,America/Chicago,False
Paterson,NJ,40.9147,-74.1624,145233,America/New_York,False
Merced,CA,37.3057,-120.4778,145149,America/Los_Angeles,False
Pueblo,CO,38.2705,-104.6112,143932,America/Denver,False
Tyler,TX,32.3184,-95.3062,143796,America/Chicago,False
Torrance,CA,33.8346,-118.3417,143592,America/Los_Angeles,False
Yuma,AZ,32.5992,-114.5488,142847,America/Phoenix,False
Metairie,LA,29.9977,-90.178,142135,America/Chicago,False
Surprise,AZ,33.68,-112.4524,141664,America/Phoenix,False
Columbia,MO,38.9478,-92.3256,141645,America/Chicago,False
Athens,GA,33.9508,-83.3689,141532,America/New_York,False
Roseville,CA,38.7703,-121.3196,141500,America/Los_Angeles,False
Thornton,CO,39.9197,-104.9438,141464,America/Denver,False
Miramar,FL,25.9773,-80.3351,141191,America/New_York,False
Pasadena,CA,34.1597,-118.139,141029,America/Los_Angeles,False
Mesquite,TX,32.7623,-96.5889,140937,America/Chicago,False
Olathe,KS,38.8832,-94.8198,140545,America/Chicago,False
Santa Maria,CA,34.9334,-120.4432,140545,America/Los_Angeles,False
Houma,LA,29.5799,-90.7058,140469,America/Chicago,False
Carrollton,TX,32.989,-96.8999,139248,America/Chicago,False
Grand Junction,CO,39.0876,-108.5673,139143,America/Denver,False
Charleston,WV,38.3484,-81.6323,138706,America/New_York,False
Orange,CA,33.8038,-117.8218,138669,America/Los_Angeles,False
Fullerton,CA,33.8841,-117.9279,138632,America/Los_Angeles,False
Greeley,CO,40.4151,-104.7706,137810,America/Denver,False
Carolina,PR,18.4054,-65.9792,136771,America/Puerto_Rico,False
Las Cruces,NM,32.3265,-106.7892,136254,America/Denver,False
Panama City,FL,30.1995,-85.6004,136133,America/Chicago,False
Harlingen,TX,26.1917,-97.6976,136037,America/Chicago,False
West Valley City,UT,40.6889,-112.0115,135248,America/Denver,False
Hampton,VA,37.0551,-76.363,134510,America/New_York,False
Warren,MI,42.4934,-83.027,133943,America/Detroit,False
Mauldin,SC,34.7849,-82.3005,133872,America/New_York,False
Bloomington,IL,40.4757,-88.9703,133846,America/Chicago,False
Coral Springs,FL,26.2702,-80.2591,133759,America/New_York,False
Round Rock,TX,30.5254,-97.666,133372,America/Chicago,False
Yakima,WA,46.5923,-120.5496,133191,America/Los_Angeles,False
Sterling Heights,MI,42.5809,-83.0305,132438,America/Detroit,False
Kent,WA,47.3887,-122.2129,132319,America/Los_Angeles,False
Burlington,NC,36.0758,-79.4686,131043,America/New_York,False
Bellingham,WA,48.7543,-122.4687,130641,America/Los_Angeles,False
Santa Clara,CA,37.3645,-121.968,130365,America/Los_Angeles,False
Racine,WI,42.7274,-87.8135,130142,America/Chicago,False
Greenville,NC,35.5956,-77.3768,130118,America/New_York,False
Stamford,CT,41.1035,-73.5583,129638,America/New_York,False
Elizabeth,NJ,40.6657,-74.1912,129216,America/New_York,False
Johnson City,TN,36.3406,-82.3803,127571,America/New_York,False
Lynchburg,VA,37.4003,-79.1909,126814,America/New_York,False
Simi Valley,CA,34.2663,-118.749,126589,America/Los_Angeles,False
Fort Smith,AR,35.3493,-94.3695,125354,America/Chicago,False
Kenosha,WI,42.5864,-87.8765,124972,America/Chicago,False
Norman,OK,35.2335,-97.3471,124880,America/Chicago,False
South Lyon,MI,42.4614,-83.6526,124694,America/Detroit,False
Boulder,CO,40.0249,-105.2523,124345,America/Denver,False
Abilene,TX,32.4543,-99.7384,123420,America/Chicago,False
Lehigh Acres,FL,26.612,-81.6388,123378,America/New_York,False
Pearland,TX,29.5585,-95.3215,122460,America/Chicago,False
Berkeley,CA,37.8723,-122.276,121363,America/Los_Angeles,False
Richardson,TX,32.9717,-96.7093,121323,America/Chicago,False
Redding,CA,40.5698,-122.365,121313,America/Los_Angeles,False
Arvada,CO,39.8321,-105.1511,121272,America/Denver,False
East Los Angeles,CA,34.0326,-118.1691,121187,America/Los_Angeles,False
St. George,UT,37.077,-113.577,120899,America/Denver,False
Billings,MT,45.7891,-108.5524,120728,America/Denver,False
Yuba City,CA,39.1357,-121.6381,120456,America/Los_Angeles,False
Rochester,MN,44.0151,-92.4778,119942,America/Chicago,False
Leominster,MA,42.5209,-71.7717,119690,America/New_York,False
Kingsport,TN,36.5224,-82.5453,119666,America/New_York,False
Duluth,MN,46.7756,-92.1392,119476,America/Chicago,False
Rock Hill,SC,34.9416,-81.0244,119105,America/New_York,False
Gilroy,CA,37.0047,-121.5855,118993,America/Los_Angeles,False
Cambridge,MA,42.3759,-71.1185,118927,America/New_York,False
Sugar Land,TX,29.5935,-95.6357,118488,America/Chicago,False
Texas City,TX,29.4128,-94.9658,118169,America/Chicago,False
Iowa City,IA,41.6559,-91.5303,118041,America/Chicago,False
Saginaw,MI,43.4199,-83.9501,117958,America/Detroit,False
Chico,CA,39.7575,-121.8152,117668,America/Los_Angeles,False
Dover,DE,39.161,-75.5203,117282,America/New_York,False
Clearwater,FL,27.9789,-82.7622,116946,America/New_York,False
Coeur d'Alene,ID,47.7041,-116.7935,116834,America/Los_Angeles,False
Seaside,CA,36.6224,-121.8191,116720,America/Los_Angeles,False
Independence,MO,39.0871,-94.3501,116672,America/Chicago,False
West Jordan,UT,40.6024,-112.0008,116480,America/Denver,False
Brandon,FL,27.9367,-82.3,115911,America/New_York,False
Bloomington,IN,39.1637,-86.5257,115884,America/Indiana/Indianapolis,False
El Monte,CA,34.0739,-118.0291,115487,America/Los_Angeles,False
North Charleston,SC,32.9066,-80.0722,115382,America/New_York,False
Carlsbad,CA,33.1247,-117.2837,115382,America/Los_Angeles,False
St. Cloud,MN,45.5339,-94.1718,115028,America/Chicago,False
Temecula,CA,33.4928,-117.1315,114761,America/Los_Angeles,False
Clovis,CA,36.8278,-119.6831,114584,America/Los_Angeles,False
Meridian,ID,43.6112,-116.3968,114161,America/Boise,False
The Woodlands,TX,30.1738,-95.5134,113819,America/Chicago,False
Ponce,PR,18.012,-66.6198,113401,America/Puerto_Rico,False
Westminster,CO,39.8837,-105.0624,113166,America/Denver,False
Costa Mesa,CA,33.6667,-117.9135,113003,America/Los_Angeles,False
Monroe,LA,32.5183,-92.0774,112891,America/Chicago,False
Utica,NY,43.0961,-75.226,112650,America/New_York,False
Pompano Beach,FL,26.2428,-80.1312,112118,America/New_York,False
West Palm Beach,FL,26.7468,-80.1316,111955,America/New_York,False
Waterloo,IA,42.492,-92.3522,111631,America/Chicago,False
Everett,WA,47.9525,-122.1669,111475,America/Los_Angeles,False
El Centro,CA,32.7867,-115.5586,111425,America/Los_Angeles,False
Santa Fe,NM,35.6619,-105.9819,111269,America/Denver,False
Downey,CA,33.9379,-118.1312,111126,America/Los_Angeles,False
Spring Hill,FL,28.4797,-82.53,111076,America/New_York,False
Lowell,MA,42.6389,-71.3217,110997,America/New_York,False
Centennial,CO,39.5926,-104.8674,110937,America/Denver,False
Elgin,IL,42.0385,-88.3229,110849,America/Chicago,False
Richmond,CA,37.9477,-122.339,110567,America/Los_Angeles,False
Broken Arrow,OK,36.0365,-95.7809,110198,America/Chicago,False
Miami Gardens,FL,25.9433,-80.2426,110001,America/New_York,False
Bend,OR,44.0562,-121.3087,109802,America/Los_Angeles,False
Burlington,VT,44.4877,-73.2314,109763,America/New_York,False
Jurupa Valley,CA,34.001,-117.4705,109527,America/Los_Angeles,False
Sandy Springs,GA,33.9366,-84.3703,109452,America/New_York,False
Gresham,OR,45.5023,-122.4413,109381,America/Los_Angeles,False
Lewisville,TX,33.0452,-96.9823,109212,America/Chicago,False
Hillsboro,OR,45.5272,-122.9361,109128,America/Los_Angeles,False
San Buenaventura,CA,34.2741,-119.2314,109106,America/Los_Angeles,False
Jacksonville,NC,34.7288,-77.3941,108856,America/New_York,False
Pottstown,PA,40.2507,-75.6444,108758,America/New_York,False
Inglewood,CA,33.9566,-118.3444,108151,America/Los_Angeles,False
League City,TX,29.4873,-95.1087,107536,America/Chicago,False
Eau Claire,WI,44.8199,-91.4949,107404,America/Chicago,False
Turlock,CA,37.5053,-120.8588,107317,America/Los_Angeles,False
Temple,TX,31.1076,-97.3894,107258,America/Chicago,False
Sioux City,IA,42.4959,-96.3901,106455,America/Chicago,False
Salisbury,MD,38.3756,-75.5867,106447,America/New_York,False
