city,state_id,lat,lng,population,timezone,military
Brighton,AL,33.4393,-86.9454,2775,America/Chicago,False
Norton Center,MA,41.9726,-71.1854,2774,America/New_York,False
Harveys Lake,PA,41.3626,-76.0381,2774,America/New_York,False
Central Heights-Midland City,AZ,33.4,-110.8153,2774,America/Phoenix,False
Pine Mountain Lake,CA,37.8599,-120.1843,2772,America/Los_Angeles,False
Sublimity,OR,44.8293,-122.7925,2772,America/Los_Angeles,False
Bethel Heights,AR,36.2262,-94.1282,2771,America/Chicago,False
Voorheesville,NY,42.6518,-73.9349,2771,America/New_York,False
Rose Hills,CA,34.009,-118.0419,2771,America/Los_Angeles,False
Plainsboro Center,NJ,40.3311,-74.5937,2771,America/New_York,False
Clever,MO,37.0326,-93.474,2770,America/Chicago,False
Fairfield Harbour,NC,35.0706,-76.9571,2770,America/New_York,False
Albany,MN,45.6284,-94.5677,2769,America/Chicago,False
Troutman,NC,35.6875,-80.883,2769,America/New_York,False
Dodge Center,MN,44.0289,-92.8507,2768,America/Chicago,False
Fairmount,IN,40.4173,-85.6477,2768,America/Indiana/Indianapolis,False
Marietta,OK,33.9355,-97.1242,2768,America/Chicago,False
Hudson,CO,40.0898,-104.6216,2767,America/Denver,False
Ithaca,MI,43.2912,-84.5956,2766,America/Detroit,False
Millen,GA,32.8071,-81.9423,2766,America/New_York,False
Kalkaska,MI,44.7322,-85.1781,2766,America/Detroit,False
Crest,CA,32.8,-116.8671,2765,America/Los_Angeles,False
Ford City,PA,40.7693,-79.5327,2764,America/New_York,False
Onawa,IA,42.0268,-96.0905,2764,America/Chicago,False
West Simsbury,CT,41.8747,-72.8448,2764,America/New_York,False
Pawnee,IL,39.5937,-89.5824,2764,America/Chicago,False
Lakeside Park,KY,39.0338,-84.5674,2762,America/New_York,False
Gervais,OR,45.1078,-122.8962,2762,America/Los_Angeles,False
Loris,SC,34.0575,-78.8876,2761,America/New_York,False
Westminster,LA,30.408,-91.0906,2760,America/Chicago,False
Talty,TX,32.6945,-96.4007,2760,America/Chicago,False
Platteville,CO,40.2221,-104.834,2760,America/Denver,False
Windsor,VA,36.8095,-76.7406,2758,America/New_York,False
Westworth Village,TX,32.7599,-97.4239,2757,America/Chicago,False
Wilson's Mills,NC,35.5863,-78.3644,2756,America/New_York,False
North Shore,CA,33.5157,-115.9092,2756,America/Los_Angeles,False
East Gaffney,SC,35.0846,-81.6219,2755,America/New_York,False
Kulpmont,PA,40.7951,-76.4718,2754,America/New_York,False
Sisco Heights,WA,48.1187,-122.1076,2754,America/Los_Angeles,False
Woodville,FL,30.3114,-84.2595,2754,America/New_York,False
Caledonia,MN,43.6344,-91.5009,2753,America/Chicago,False
